"","Workout","Timestamp","Live.On.Demand","Instructor.Name","Length..minutes.","Fitness.Discipline","Type","Title","Class.Timestamp","Total.Output","Avg..Watts","Avg..Resistance","Avg..Cadence..RPM.","Avg..Speed..kph.","Distance..km.","Calories.Burned","Avg..Heartrate","Avg..Incline","Avg..Pace..min.km."
"1","2020-08-11","14:49","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2019-11-13 16:16 (EDT)",65,54,"32%",66,18.72,6.24,203,147.97,NA,NA
"2","2020-08-11","15:13","On Demand","Robin Arzon",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-06-30 10:00 (EDT)",NA,NA,"",NA,NA,NA,40,129.47,NA,NA
"3","2020-08-11","15:31","On Demand","",15,"Cycling","Scenic Ride","15 min Canadian Roads Scenic Ride","",41,46,"30%",68,18.07,4.52,154,149.03,NA,NA
"4","2020-08-11","15:52","On Demand","Kendall Toole",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-08-09 08:34 (EDT)",NA,NA,"",NA,NA,NA,96,143.46,NA,NA
"5","2020-08-12","11:11","On Demand","Anna Greenberg",10,"Yoga","Yoga Basics","10 min Basics: Transitions","2020-03-11 11:00 (EDT)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"6","2020-08-12","11:22","On Demand","Aditi Shah",10,"Yoga","Focus Flow","10 min Sun Salutations","2019-07-01 09:51 (EDT)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"7","2020-08-12","12:26","On Demand","Robin Arzon",20,"Cycling","Beginner","20 min Beginner Ride","2020-05-31 16:00 (EDT)",50,53,"34%",64,19.38,5.36,170,144.72,NA,NA
"8","2020-08-12","12:50","On Demand","Robin Arzon",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-07-31 18:35 (EDT)",NA,NA,"",NA,NA,NA,79,128.78,NA,NA
"9","2020-08-13","14:59","On Demand","Alex Toussaint",20,"Cycling","Beginner","20 min Beginner Ride","2019-12-07 10:00 (EDT)",59,49,"32%",67,18.35,6.12,199,145,NA,NA
"10","2020-08-13","15:22","On Demand","Alex Toussaint",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-08-07 09:00 (EDT)",NA,NA,"",NA,NA,NA,100,146.78,NA,NA
"11","2020-08-13","15:43","On Demand","Robin Arzon",15,"Cycling","Low Impact","15 min Low Impact Ride","2019-07-16 14:37 (EDT)",27,30,"24%",66,14.16,3.54,147,145.09,NA,NA
"12","2020-08-13","16:01","On Demand","Robin Arzon",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-06-30 10:00 (EDT)",NA,NA,"",NA,NA,NA,41,131.07,NA,NA
"13","2020-08-13","16:14","On Demand","Multiple Instructors",5,"Cardio","Dance Cardio","5 min Dance Cardio Warm Up","2020-03-05 14:00 (EDT)",NA,NA,"",NA,NA,NA,38,125.38,NA,NA
